#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 08 04 00 146  7.3  7.5 99.00 99.00 99.00 999 1020.7  17.2 999.0  16.0 99.0 99.00
2012 01 08 05 00 150  7.9  8.0 99.00 99.00 99.00 999 1020.5  17.6 999.0  16.4 99.0 99.00
2012 01 08 06 00 155  7.4  7.6 99.00 99.00 99.00 999 1020.4  18.1 999.0  17.0 99.0 99.00
2012 01 08 07 00 179  5.3  5.4 99.00 99.00 99.00 999 1020.1  18.7 999.0  17.4 99.0 99.00
2012 01 08 08 00 181  6.6  6.7 99.00 99.00 99.00 999 1019.8  19.0 999.0  17.0 99.0 99.00
2012 01 08 09 00 198  6.3  6.4 99.00 99.00 99.00 999 1019.7  19.8 999.0  17.0 99.0 99.00
2012 01 08 10 00 194  5.0  5.0 99.00 99.00 99.00 999 1019.6  19.2 999.0  17.3 99.0 99.00
2012 01 08 11 00 179  5.5  5.6 99.00 99.00 99.00 999 1019.8  19.0 999.0  17.4 99.0 99.00
2012 01 08 12 00 169  5.1  5.2 99.00 99.00 99.00 999 1020.3  18.7 999.0  17.1 99.0 99.00
2012 01 08 13 00 167  6.1  6.1 99.00 99.00 99.00 999 1020.5  19.0 999.0  17.0 99.0 99.00
2012 01 08 14 00 176  5.1  5.5 99.00 99.00 99.00 999 1021.5  18.0 999.0  16.7 99.0 99.00
2012 01 08 15 00 169  5.7  5.8 99.00 99.00 99.00 999 1022.0  19.3 999.0  16.9 99.0 99.00
2012 01 08 16 00 159  5.7  5.8 99.00 99.00 99.00 999 1022.4  18.7 999.0  16.9 99.0 99.00
2012 01 08 17 00 168  5.4  5.5 99.00 99.00 99.00 999 1022.2  19.2 999.0  17.1 99.0 99.00
2012 01 08 18 00 168  5.7  5.8 99.00 99.00 99.00 999 1021.4  19.5 999.0  16.9 99.0 99.00
2012 01 08 19 00 166  4.7  4.8 99.00 99.00 99.00 999 1020.7  19.7 999.0  17.5 99.0 99.00
2012 01 08 20 00 158  4.4  4.5 99.00 99.00 99.00 999 1020.1  19.8 999.0  17.8 99.0 99.00
2012 01 08 21 00 142  4.3  4.4 99.00 99.00 99.00 999 1019.7  20.3 999.0  18.2 99.0 99.00
2012 01 08 22 00 134  4.9  5.0 99.00 99.00 99.00 999 1019.7  19.9 999.0  18.8 99.0 99.00
2012 01 08 23 00 153  5.0  5.1 99.00 99.00 99.00 999 1020.0  19.5 999.0  18.5 99.0 99.00
2012 01 09 00 00 156  6.1  6.2 99.00 99.00 99.00 999 1020.1  19.9 999.0  18.9 99.0 99.00
2012 01 09 01 00 145  6.9  7.1 99.00 99.00 99.00 999 1020.1  19.3 999.0  18.3 99.0 99.00
2012 01 09 02 00 143  7.0  7.5 99.00 99.00 99.00 999 1020.2  20.0 999.0  18.3 99.0 99.00
2012 01 09 03 00 145  7.0  7.3 99.00 99.00 99.00 999 1020.7  19.5 999.0  17.8 99.0 99.00
2012 01 09 04 00 144  7.4  7.5 99.00 99.00 99.00 999 1020.9  18.5 999.0  17.4 99.0 99.00
2012 01 09 05 00 141  8.8  8.9 99.00 99.00 99.00 999 1020.4  19.0 999.0  17.5 99.0 99.00
2012 01 09 06 00 144  8.4  8.5 99.00 99.00 99.00 999 1020.2  19.3 999.0  17.9 99.0 99.00
2012 01 09 07 00 149  7.5  7.8 99.00 99.00 99.00 999 1020.3  19.6 999.0  17.9 99.0 99.00
2012 01 09 08 00 145  8.1  8.2 99.00 99.00 99.00 999 1019.7  19.9 999.0  17.6 99.0 99.00
2012 01 09 09 00 141  7.3  7.5 99.00 99.00 99.00 999 1019.7  19.7 999.0  17.7 99.0 99.00
